,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,ST,Locality,(Reference) Comments,MW_BRProxy,s_MW_BRProxy,t_MW_BRProxy
1187,2015,11,15,10,55,8,-12.28,-48.46,0.0,30,2.9,1,I,-,,TO,Peixe,(RSBR),2.6,0.3,Mw(mb)
1188,2015,11,21,21,50,32,7.36,-38.15,0.0,50,4.4,0,I,-,,PE,Arquip.S.Pedro S.Paulo,(RSBR),4.1,0.3,Mw(mb)
1189,2015,11,25,9,45,47,8.51,-40.57,0.0,50,4.5,0,I,-,,PE,Arquip.S.Pedro S.Paulo,(RSBR),4.2,0.3,Mw(mb)
1190,2015,12,2,1,41,15,-21.98,-49.84,0.0,6,2.8,1,I,-,,SP,Julio Mesquita,(RSBR),2.5,0.3,Mw(mb)
1191,2015,12,7,21,8,3,-10.62,-55.28,0.0,20,3.2,1,I,-,,MT,Terra Nova do Norte,(RSBR),2.9,0.3,Mw(mb)
1192,2015,12,9,14,49,53,-10.68,-43.86,0.0,20,3.8,1,I,-,,BA,Mansidao,(RSBR),3.5,0.3,Mw(mb)
1193,2015,12,12,23,30,33,0.73,-24.94,0.0,50,4.4,0,I,-,,PE,Arquip.S.Pedro S.Paulo,(RSBR),4.1,0.3,Mw(mb)
1194,2015,12,13,17,46,19,-8.08,-50.28,0.0,30,3.3,1,I,-,,PA,Redencao,(RSBR),3.0,0.3,Mw(mb)
1195,2015,12,14,7,19,55,-26.04,-57.1,0.0,10,2.8,1,I,-,,PY,Paraguay,(RSBR),2.5,0.3,Mw(mb)
1196,2015,12,20,0,8,43,-8.79,-71.21,0.0,50,4.2,0,I,-,,AC,Western Brazil,(RSBR),3.9,0.3,Mw(mb)
1197,2015,12,25,11,52,16,-3.82,-39.83,0.0,15,3.5,1,I,-,,CE,Iraucuba,(RSBR),3.2,0.3,Mw(mb)
1198,2015,12,27,22,48,40,8.79,-39.99,0.0,50,4.5,0,I,-,,PE,Arquip.S.Pedro S.Paulo,(RSBR),4.2,0.3,Mw(mb)
1199,2015,12,28,19,24,17,-0.41,-19.74,0.0,50,4.8,0,I,-,,PE,Arquip.S.Pedro S.Paulo,(RSBR),4.5,0.3,Mw(mb)
